arch,domain,concept,beta,dh_norm,locus,placement,cos_probe,cos_random,cos_cad,cos_cad_nospec,cos_sham
llava15_7b,general,effusion,0.45,1.655,vis.last,anatomical,0.0128,-0.0441,nan,nan,nan
llava15_7b,general,effusion,0.45,1.5448,connector,anatomical,-0.0009,-0.0031,0.0161,0.0365,0.002
llava15_7b,general,effusion,0.45,1.3776,llm.L8.vis,anatomical,-0.0016,-0.009,0.0147,nan,0.0034
llava15_7b,general,effusion,0.45,1.5932,llm.L16.vis,anatomical,-0.0002,-0.0082,0.0206,nan,-0.0003
llava15_7b,general,effusion,0.45,2.9695,llm.L24.vis,anatomical,0.007,0.0144,-0.0187,nan,0.003
llava15_7b,general,effusion,0.6,1.8027,vis.last,anatomical,0.0118,0.0099,nan,nan,nan
llava15_7b,general,effusion,0.6,1.6103,connector,anatomical,-0.0008,-0.0019,0.019,0.0401,-0.0027
llava15_7b,general,effusion,0.6,1.431,llm.L8.vis,anatomical,-0.0016,-0.0102,0.0144,nan,0.0085
llava15_7b,general,effusion,0.6,1.7154,llm.L16.vis,anatomical,0.0003,-0.0095,0.0143,nan,-0.0001
llava15_7b,general,effusion,0.6,3.2896,llm.L24.vis,anatomical,0.0067,0.0134,-0.0211,nan,0.0013
llava15_7b,general,nodule,0.05,0.2791,vis.last,anatomical,0.0043,-0.0206,,,
llava15_7b,general,nodule,0.05,0.2949,connector,anatomical,0.0062,-0.0012,,,
llava15_7b,general,nodule,0.05,0.3666,llm.L8.vis,anatomical,-0.0011,-0.0162,,,
llava15_7b,general,nodule,0.05,0.3919,llm.L16.vis,anatomical,0.0023,0.0,,,
llava15_7b,general,nodule,0.05,0.5635,llm.L24.vis,anatomical,-0.0079,-0.0206,,,
llava15_7b,general,nodule,0.1,0.307,vis.last,anatomical,0.0065,-0.0015,,,
llava15_7b,general,nodule,0.1,0.3096,connector,anatomical,0.0039,-0.0083,,,
llava15_7b,general,nodule,0.1,0.3554,llm.L8.vis,anatomical,-0.0033,0.0122,,,
llava15_7b,general,nodule,0.1,0.3931,llm.L16.vis,anatomical,-0.0002,0.0242,,,
llava15_7b,general,nodule,0.1,0.6094,llm.L24.vis,anatomical,-0.0081,0.0236,,,
llava15_7b,general,nodule,0.2,0.4816,vis.last,anatomical,0.008,-0.0301,,,
llava15_7b,general,nodule,0.2,0.4577,connector,anatomical,0.0008,0.0083,,,
llava15_7b,general,nodule,0.2,0.5072,llm.L8.vis,anatomical,0.0009,0.0011,,,
llava15_7b,general,nodule,0.2,0.5579,llm.L16.vis,anatomical,0.0006,0.0034,,,
llava15_7b,general,nodule,0.2,0.863,llm.L24.vis,anatomical,-0.0008,0.0112,,,
llava15_7b,general,nodule,0.3,0.727,vis.last,anatomical,0.0026,-0.044,,,
llava15_7b,general,nodule,0.3,0.631,connector,anatomical,0.0001,0.0096,,,
llava15_7b,general,nodule,0.3,0.6463,llm.L8.vis,anatomical,-0.0006,0.0098,,,
llava15_7b,general,nodule,0.3,0.7385,llm.L16.vis,anatomical,-0.0014,-0.0037,,,
llava15_7b,general,nodule,0.3,1.2465,llm.L24.vis,anatomical,0.0001,0.0294,,,
llava15_7b,general,nodule,0.45,1.1963,vis.last,anatomical,0.0118,-0.007,,,
llava15_7b,general,nodule,0.45,0.9493,connector,anatomical,0.0001,-0.0044,,,
llava15_7b,general,nodule,0.45,0.8893,llm.L8.vis,anatomical,-0.0017,0.0155,,,
